Runtime Component Id,Runtime Status, Display Name,Value
integrationServer-default,ONLINE,Response Time, 0.0303581%
integrationServer-default,ONLINE,Running Services,3.32326%
integrationServer-default,  ONLINE, Service Errors,8.65546%
OSGI-IS_default-AppPlatform-ENGINE, UNKNOWN,
OSGI-IS_default-DigitalEventServices,ONLINE,  
OSGI-IS_default-EventRouting,ONLINE, 
OSGI-IS_default,  ONLINE, JVM CPU Load,40%
OSGI-IS_default,ONLINE,  JVM Memory,56.0014%
OSGI-IS_default,  ONLINE,JVM Threads,97.2051%
OSGI-IS_default-WmJDBCAdapter,  ONLINE, 
OSGI-IS_default-WmMonitor,  ONLINE,
OSGI-SPM-ENGINE, ONLINE,Disk Space, 20.0304%
OSGI-SPM-ENGINE,ONLINE,  System CPU,45%
OSGI-SPM-ENGINE, ONLINE,System Memory, 98.9463%
OSGI-SPM,  ONLINE,JVM CPU Load,  0%
OSGI-SPM,ONLINE, JVM Memory,  89.3038%
OSGI-SPM, ONLINE, JVM Threads,90.4762%